actor_name.text was created: 2023/8/4 13:37:30
Filesize is: 48448 bytes

Enemy
Group 0
r01_gd_flo_wi - フワン
r01_gd_pyc_ba - ティノス
r01_gd_sol_sw - ペダス・ソード
r01_gd_sol_swld - ペダクス・ソード
r01_gd_sol_ri - ペダス・ガン
r01_gd_sol_rild - ペダクス・ガン
r01_gd_sol_ax - ペダス・アックス
r01_gd_sol_axld - ペダクス・アックス
r01_gd_sol_lu - ペダス・ランチャー
r01_gd_sol_luld - ペダクス・ランチャー
r01_gd_gor_ba - ゴロロン
r01_gd_gor_bald - ゴロロクス
r01_gd_for_ba - ドッツ
r01_gd_box_ba - ナグルス
r01_gd_phe_ba - オルク
r01_gd_ktn_ba - ブジン
r01_gd_mag_ba - ヴァラス
r01_gd_dra_ba - ネクス・エアリオ
r01_gd_dra_rai - ネクス・ヴェラ
r01_gd_gia_sw - ダイダル・ソード
r01_gd_gia_ax - ダイダル・アックス
r01_gd_sol_rai - ペダス・ヴェラ
r01_gd_god_1 - ？？？？？
r01_nat_monki_ba - ウーダン・ロア
r01_nat_month_ba - ザウーダン・ロア
r01_nat_wol_sm - ガルフ・ロア
r01_nat_wol_bi - フォンガルフ・ロア
r01_nat_bir_ba - アギニス・ロア
r01_nat_armma_ba - ガラガロンゴ
r01_nat_bea_ba - クラッグベア
r01_nat_fan_m - アードバンサー
r01_nat_fan_f - アードバンシー
r01_nat_fan_thum - サンダバンサー
r01_nat_fan_thuf - サンダバンシー
r01_unk_rap_ba - ラッピー
r01_alt_hrp_ba - エヴィルアンジェ
r01_alt_lzd_fl - リザド・フレイ
r01_alt_lzd_sn - リザド・アイス
r01_alt_lzd_th - リザド・サンダ
r01_alt_der_ba - ヘルーク
r01_alt_hog_ba - バインホッグ
r01_alt_cli_ba - チアキュリオ
r01_alt_wlf_ba - ワウロン
r01_alt_flg_ba - ビグフロッガ
r01_alt_tis_ba - エルディサイズ
r01_ani_rbt_w - サニィ
r01_ani_rbt_b - ムーニィ
r01_ani_sli_a - オタリカ
r01_ani_ush_a - モォベル
r01_ani_ush_b - タウベル
r01_ani_boa_a - ノッシ
r01_ani_kit_a - フォクス
r01_ani_moo_a - ディアン
r01_ani_bir_s - -
r01_ani_brs_a - パット
r01_ani_bir_b - バーディ
r01_ani_bir_yz - フランゴ
r01_non_dro_a - ドローム
r01_unk_rap_9av - セレモ・ラッピー
r01_unk_rap_ea - フルル・ラッピー
r01_gd_sol_swbo - ボムス・ソード
